16	16384	41.4551	571.429	
16	32768	41.9403	1049.18	
16	65536	42.0486	1825.31	
16	131072	42.0074	3160.49	
16	262144	42.1856	4716.18	
16	524288	42.0683	6122.57	
16	1048576	41.9715	7512.15	
32	16384	42.627	571.429	
32	32768	42.3004	1076.76	
32	65536	41.9083	2089.8	
32	131072	42.0212	3710.14	
32	262144	41.9537	6220.2	
32	524288	42.034	9132.66	
32	1048576	42.0978	12190.5	
64	16384	41.4978	615.385	
64	32768	42.6361	1007.87	
64	65536	41.7831	2235.81	
64	131072	41.9395	4149.95	
64	262144	41.9426	6532.7	
64	524288	42.0145	11354.1	
64	1048576	42.0985	15930	
128	16384	42.1631	615.385	
128	32768	42.0227	1151.86	
128	65536	42.0197	2238.25	
128	131072	42.086	4262.23	
128	262144	42.0498	7892.1	
128	524288	41.9046	11976.6	
128	1048576	41.9848	17192	
