1	50	6.43288	3.73281	3.66106
1	100	6.46439	3.70446	3.6739
1	300	6.47883	3.63414	3.60567
1	500	6.48048	3.81597	3.72224
1	700	6.48108	3.78709	3.69065
1	1000	6.48145	3.68781	3.66656
1	1500	6.48169	3.7207	3.6459
1	2000	6.48178	3.67952	3.65042
1	3000	6.48188	3.70029	3.68158
1	5000	6.48194	3.72713	3.69942
2	50	6.43288	7.49309	7.12404
2	100	6.46439	7.37415	7.22692
2	300	6.47883	7.29073	7.22372
2	500	6.48048	7.31694	7.29392
2	700	6.48108	7.30693	7.26538
2	1000	6.48145	7.31507	7.25168
2	1500	6.48169	7.29323	7.26402
2	2000	6.48178	7.32363	7.27957
2	3000	6.48188	7.32306	7.30897
2	5000	6.48194	7.40696	7.40232
4	50	6.43288	14.6258	13.7444
4	100	6.46439	14.4186	13.9722
4	300	6.47883	14.4297	14.2892
4	500	6.48048	14.4095	14.3465
4	700	6.48108	14.4493	14.3772
4	1000	6.48145	14.3425	14.1339
4	1500	6.48169	14.3411	14.2981
4	2000	6.48178	14.3756	14.3412
4	3000	6.48188	14.4077	14.3622
4	5000	6.48194	14.5845	14.5571
8	50	6.43288	21.7968	19.7402
8	100	6.46439	28.9164	27.3143
8	300	6.47883	28.7645	28.354
8	500	6.48048	28.6653	28.4982
8	700	6.48108	26.8624	23.4853
8	1000	6.48145	28.731	28.5787
8	1500	6.48169	28.6673	28.2943
8	2000	6.48178	28.1753	27.5018
8	3000	6.48188	28.8439	28.1275
8	5000	6.48194	29.2312	28.928
