1	   8	       128	     0.015
1	  16	        64	     0.012
1	  32	        32	     0.013
1	  64	        16	     0.013
1	 128	         8	     0.011
1	 256	         4	     0.011
1	 512	         2	     0.020
4	   8	       512	     0.047
4	  16	       256	     0.050
4	  32	       128	     0.049
4	  64	        64	     0.054
4	 128	        32	     0.048
4	 256	        16	     0.064
4	 512	         8	     0.047
16	   8	      2048	     0.201
16	  16	      1024	     0.260
16	  32	       512	     0.197
16	  64	       256	     0.216
16	 128	       128	     0.211
16	 256	        64	     0.200
16	 512	        32	     0.192
64	   8	      8192	     0.675
64	  16	      4096	     0.736
64	  32	      2048	     0.707
64	  64	      1024	     0.939
64	 128	       512	     0.880
64	 256	       256	     0.822
64	 512	       128	     0.758
128	   8	     16384	     0.433
128	  16	      8192	     0.582
128	  32	      4096	     0.696
128	  64	      2048	     0.538
128	 128	      1024	     0.536
128	 256	       512	     0.500
128	 512	       256	     0.482
512	   8	     65536	     1.209
512	  16	     32768	     1.816
512	  32	     16384	     1.610
512	  64	      8192	     2.517
512	 128	      4096	     1.871
512	 256	      2048	     1.809
512	 512	      1024	     1.819
1024	   8	    131072	     2.081
1024	  16	     65536	     2.306
1024	  32	     32768	     2.832
1024	  64	     16384	     3.356
1024	 128	      8192	     3.388
1024	 256	      4096	     3.341
1024	 512	      2048	     3.127
2048	   8	    262144	     2.138
2048	  16	    131072	     3.246
2048	  32	     65536	     4.627
2048	  64	     32768	     4.989
2048	 128	     16384	     5.663
2048	 256	      8192	     5.870
2048	 512	      4096	     5.240
4096	   8	    524288	     2.470
4096	  16	    262144	     4.348
4096	  32	    131072	     6.144
4096	  64	     65536	     7.288
4096	 128	     32768	     7.878
4096	 256	     16384	     7.794
4096	 512	      8192	     7.840
8192	   8	   1048576	     2.723
8192	  16	    524288	     4.746
8192	  32	    262144	     7.410
8192	  64	    131072	    10.167
8192	 128	     65536	    10.183
8192	 256	     32768	    11.305
8192	 512	     16384	    10.487
1	   8	       128	     0.010
1	  16	        64	     0.010
1	  32	        32	     0.013
1	  64	        16	     0.018
1	 128	         8	     0.019
1	 256	         4	     0.011
1	 512	         2	     0.013
4	   8	       512	     0.052
4	  16	       256	     0.047
4	  32	       128	     0.041
4	  64	        64	     0.053
4	 128	        32	     0.043
4	 256	        16	     0.048
4	 512	         8	     0.047
16	   8	      2048	     0.281
16	  16	      1024	     0.171
16	  32	       512	     0.224
16	  64	       256	     0.201
16	 128	       128	     0.199
16	 256	        64	     0.165
16	 512	        32	     0.274
64	   8	      8192	     0.669
64	  16	      4096	     0.742
64	  32	      2048	     0.816
64	  64	      1024	     0.802
64	 128	       512	     0.884
64	 256	       256	     0.709
64	 512	       128	     0.762
128	   8	     16384	     1.112
128	  16	      8192	     1.279
128	  32	      4096	     1.543
128	  64	      2048	     2.426
128	 128	      1024	     1.959
128	 256	       512	     1.726
128	 512	       256	     1.459
512	   8	     65536	     1.192
512	  16	     32768	     1.454
512	  32	     16384	     1.808
512	  64	      8192	     1.864
512	 128	      4096	     1.814
512	 256	      2048	     1.730
512	 512	      1024	     2.940
1024	   8	    131072	     1.626
1024	  16	     65536	     2.437
1024	  32	     32768	     2.692
1024	  64	     16384	     3.211
1024	 128	      8192	     3.101
1024	 256	      4096	     3.795
1024	 512	      2048	     3.489
2048	   8	    262144	     2.376
2048	  16	    131072	     3.311
2048	  32	     65536	     4.375
2048	  64	     32768	     5.198
2048	 128	     16384	     5.234
2048	 256	      8192	     4.924
2048	 512	      4096	     5.438
4096	   8	    524288	     2.387
4096	  16	    262144	     3.894
4096	  32	    131072	     5.670
4096	  64	     65536	     6.873
4096	 128	     32768	     7.236
4096	 256	     16384	     7.028
4096	 512	      8192	     6.749
8192	   8	   1048576	     2.589
8192	  16	    524288	     4.586
8192	  32	    262144	     7.191
8192	  64	    131072	     9.305
8192	 128	     65536	     9.403
8192	 256	     32768	     9.071
8192	 512	     16384	     9.631
1	  32	        32	     0.023
1	  64	        16	     0.012
1	 128	         8	     0.012
1	 256	         4	     0.013
4	  32	       128	     0.051
4	  64	        64	     0.059
4	 128	        32	     0.053
4	 256	        16	     0.065
16	  32	       512	     0.190
16	  64	       256	     0.191
16	 128	       128	     0.192
16	 256	        64	     0.214
64	  32	      2048	     0.663
64	  64	      1024	     0.774
64	 128	       512	     0.929
64	 256	       256	     0.638
128	  32	      4096	     0.411
128	  64	      2048	     0.519
128	 128	      1024	     0.574
128	 256	       512	     0.447
512	  32	     16384	     1.355
512	  64	      8192	     1.607
512	 128	      4096	     1.525
512	 256	      2048	     1.587
1024	  32	     32768	     1.926
1024	  64	     16384	     2.415
1024	 128	      8192	     2.743
1024	 256	      4096	     2.652
2048	  32	     65536	     2.838
2048	  64	     32768	     3.485
2048	 128	     16384	     4.085
2048	 256	      8192	     3.946
4096	  32	    131072	     3.099
4096	  64	     65536	     4.503
4096	 128	     32768	     5.894
4096	 256	     16384	     5.997
8192	  32	    262144	     3.607
8192	  64	    131072	     5.338
8192	 128	     65536	     7.301
8192	 256	     32768	     6.910
