1024	3180.08	942.17	3.38
2048	3314.28	960.59	3.45
3072	3447.65	966.04	3.57
4096	3220.24	965.17	3.34
6144	3177.01	969.87	3.28
8192	3177.49	970.84	3.27
16384	3004	970.96	3.09
32768	2681.94	969.9	2.77
65536	2708.1	967.91	2.8
131072	2714.22	968.28	2.8
262144	2727.17	966.55	2.82
524288	2718.58	957.73	2.84
1048576	1299.45	833.2	1.56
2097152	1297.56	834.24	1.56
4194304	1070.3	750.87	1.43
8388608	1260.32	803.68	1.57
1024	2774.79	1412.8	1.96
2048	2840.2	1439.15	1.97
3072	2551.56	1413.71	1.8
4096	2366.45	1384.23	1.71
6144	2273.87	1363.52	1.67
8192	2383.44	1386.85	1.72
16384	2284.48	1379.48	1.66
32768	2062.69	1523.46	1.35
65536	1873.15	1466.43	1.28
131072	1891.24	1457.15	1.3
262144	1845.79	1432.14	1.29
524288	1766.69	1377	1.28
1048576	897.95	805.85	1.11
2097152	871.2	776.96	1.12
4194304	727.26	672.11	1.08
8388608	883.15	816.37	1.08
