1024	 3075.56	  952.58	  536.67	 1207.59	    3.23	    0.56	    1.27
2048	 3276.01	  962.90	  696.17	 1790.37	    3.40	    0.72	    1.86
3072	 3296.06	  967.31	  760.60	 2115.80	    3.41	    0.79	    2.19
4096	 3222.60	  968.36	  812.72	 2255.70	    3.33	    0.84	    2.33
6144	 3138.10	  970.48	  842.67	 2473.36	    3.23	    0.87	    2.55
8192	 3243.10	  971.89	  878.29	 2673.58	    3.34	    0.90	    2.75
16384	 2984.89	  972.00	  909.62	 2868.80	    3.07	    0.94	    2.95
32768	 2696.95	  969.21	  921.41	 2709.20	    2.78	    0.95	    2.80
65536	 2707.87	  968.16	  943.41	 2640.03	    2.80	    0.97	    2.73
131072	 2726.18	  968.19	  955.38	 2686.01	    2.82	    0.99	    2.77
262144	 2724.22	  966.36	  958.60	 2695.26	    2.82	    0.99	    2.79
524288	 2588.67	  955.86	  951.27	 2679.89	    2.71	    1.00	    2.80
1048576	 1308.50	  828.39	  808.33	 1258.17	    1.58	    0.98	    1.52
2097152	 1322.62	  823.53	  818.12	 1284.81	    1.61	    0.99	    1.56
4194304	 1228.92	  794.14	  803.03	 1225.64	    1.55	    1.01	    1.54
8388608	 1195.28	  800.55	  801.42	 1205.68	    1.49	    1.00	    1.51
1024	 3180.08	  984.56	  549.96	  779.80	    3.23	    0.56	    0.79
2048	 3277.23	 1001.03	  892.37	 1415.30	    3.27	    0.89	    1.41
3072	 1776.75	  527.47	  628.50	 1068.52	    3.37	    1.19	    2.03
4096	 3177.78	 1008.90	 1156.39	 2413.86	    3.15	    1.15	    2.39
6144	 3076.63	  970.30	 1310.83	 3003.10	    3.17	    1.35	    3.10
8192	 3158.10	  972.00	 1446.07	 3466.78	    3.25	    1.49	    3.57
16384	 1245.55	  530.55	  842.41	 2467.87	    2.35	    1.59	    4.65
32768	 1770.57	  574.84	 1040.88	 3200.91	    3.08	    1.81	    5.57
65536	 2715.84	  968.74	 1813.49	 5422.05	    2.80	    1.87	    5.60
131072	 2698.51	  973.26	 1851.77	 5151.78	    2.77	    1.90	    5.29
262144	 2628.01	  995.89	 1887.45	 5105.64	    2.64	    1.90	    5.13
524288	 2618.73	  988.89	 1912.84	 5289.11	    2.65	    1.93	    5.35
1048576	 2390.72	  937.39	 1791.76	 4376.69	    2.55	    1.91	    4.67
2097152	 1506.21	  853.74	 1190.76	 1580.75	    1.76	    1.39	    1.85
4194304	 1211.22	  787.84	 1376.22	 1702.68	    1.54	    1.75	    2.16
8388608	 1190.33	  799.30	 1400.51	 1743.79	    1.49	    1.75	    2.18
1024	 2094.31	  984.56	  369.40	  425.96	    2.13	    0.38	    0.43
2048	 3308.05	 1001.03	  912.27	 1047.03	    3.30	    0.91	    1.05
3072	 3241.01	  966.96	 1124.44	 1526.75	    3.35	    1.16	    1.58
4096	 3260.83	 1010.12	 1392.78	 1990.29	    3.23	    1.38	    1.97
6144	 3160.65	 1012.01	 1716.65	 2617.63	    3.12	    1.70	    2.59
8192	 3228.81	  971.78	 2003.89	 3459.62	    3.32	    2.06	    3.56
16384	 3086.62	 1017.14	 2518.30	 5593.70	    3.03	    2.48	    5.50
32768	 2346.29	  968.78	 1732.92	 5924.54	    2.42	    1.79	    6.12
65536	 2749.91	 1012.03	 3340.59	 9793.16	    2.72	    3.30	    9.68
131072	 2594.83	 1011.40	 3510.80	 9805.78	    2.57	    3.47	    9.70
262144	 2693.05	  955.67	 3660.77	 9681.08	    2.82	    3.83	   10.13
524288	 2556.77	  963.53	 3727.79	 9958.21	    2.65	    3.87	   10.34
1048576	 2326.79	  938.95	 3298.17	 9669.11	    2.48	    3.51	   10.30
2097152	 1569.70	  862.98	 1838.57	 3102.12	    1.82	    2.13	    3.59
4194304	 1306.61	  800.90	 1480.56	 1640.15	    1.63	    1.85	    2.05
8388608	 1245.86	  793.16	 2081.64	 2379.93	    1.57	    2.62	    3.00
1024	 3141.46	  986.55	  385.69	  453.87	    3.18	    0.39	    0.46
2048	 3291.95	  961.53	  797.25	  784.38	    3.42	    0.83	    0.82
3072	 2039.59	  962.37	  773.03	 1103.83	    2.12	    0.80	    1.15
4096	 2576.10	 1009.13	 1294.21	 1616.33	    2.55	    1.28	    1.60
6144	 1936.90	  968.02	 1385.94	 2322.09	    2.00	    1.43	    2.40
8192	 2015.26	 1013.61	 1695.39	 2759.34	    1.99	    1.67	    2.72
16384	 3055.53	 1017.01	 3596.11	 5787.38	    3.00	    3.54	    5.69
32768	 2758.69	 1013.30	 4338.39	 7897.73	    2.72	    4.28	    7.79
65536	 2509.72	 1010.58	 5470.85	13228.45	    2.48	    5.41	   13.09
131072	 2672.59	  954.46	 6446.61	17187.74	    2.80	    6.75	   18.01
262144	 2637.32	  965.51	 6932.63	17382.24	    2.73	    7.18	   18.00
524288	 2592.74	  957.97	 7195.33	14140.12	    2.71	    7.51	   14.76
1048576	 2426.16	  935.72	 4728.81	10614.96	    2.59	    5.05	   11.34
2097152	 1369.79	  830.47	 2937.92	 6986.11	    1.65	    3.54	    8.41
4194304	 1236.23	  807.95	 2510.79	 2951.78	    1.53	    3.11	    3.65
8388608	 1236.71	  799.68	 3174.69	 3324.13	    1.55	    3.97	    4.16
